,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
107,BlackScholes_DR,BlackScholes,MHP_SYCL_GPU,1,strong,0.8117995302076644,811.7995302076645,MHP,SYCL,GPU,2000000000,1,56,1.0,2463.6624259789664
118,BlackScholes_DR,BlackScholes,MHP_SYCL_GPU,2,strong,1.5837412490026996,1583.7412490026998,MHP,SYCL,GPU,2000000000,2,112,2.0,1262.8325499884677
46,BlackScholes_DR,BlackScholes,MHP_SYCL_GPU,3,strong,2.3988892673280056,2398.889267328005,MHP,SYCL,GPU,2000000000,3,168,3.0,833.7191829732487
92,BlackScholes_DR,BlackScholes,MHP_SYCL_GPU,4,strong,3.1258593964224923,3125.8593964224924,MHP,SYCL,GPU,2000000000,4,224,4.0,639.8240440017793
60,BlackScholes_Reference,BlackScholes,Reference_GPU,1,strong,0.763367347563143,763.367347563143,SHP,SYCL,GPU,2000000000,1,56,1.0,2619.970590023917
85,BlackScholes_DR,BlackScholes,SHP_SYCL_GPU,1,strong,0.8394363873909175,839.4363873909175,SHP,SYCL,GPU,2000000000,1,56,1.0,2382.550994979229
142,BlackScholes_DR,BlackScholes,SHP_SYCL_GPU,2,strong,1.4564700563294959,1456.470056329496,SHP,SYCL,GPU,2000000000,2,112,2.0,1373.183053993073
123,BlackScholes_DR,BlackScholes,SHP_SYCL_GPU,3,strong,2.219875618841459,2219.875618841459,SHP,SYCL,GPU,2000000000,3,168,3.0,900.9513789983373
112,BlackScholes_DR,BlackScholes,SHP_SYCL_GPU,4,strong,3.177147595820482,3177.147595820482,SHP,SYCL,GPU,2000000000,4,224,4.0,629.4954639913448
