,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
53,Stream_Triad,Stream_Triad,MHP_DIRECT_CPU,56,strong,0.18528546931639173,185.28546931639173,MHP,DIRECT,CPU,2000000000,56,56,1.0,6476.492756973248
99,Stream_Triad,Stream_Triad,MHP_DIRECT_CPU,112,strong,0.3470530307558543,347.0530307558543,MHP,DIRECT,CPU,2000000000,112,112,2.0,3457.6848310083737
24,Stream_Triad,Stream_Triad,MHP_SYCL_CPU,1,strong,0.1981487305588046,198.1487305588046,MHP,SYCL,CPU,2000000000,1,56,1.0,6056.056965976251
6,Stream_Triad,Stream_Triad,MHP_SYCL_CPU,2,strong,0.39395626054132515,393.95626054132515,MHP,SYCL,CPU,2000000000,2,112,2.0,3046.0234299896924
135,Stream_Triad,Stream_Triad,SHP_SYCL_CPU,1,strong,0.19803079886504346,198.03079886504347,SHP,SYCL,CPU,2000000000,1,56,1.0,6059.663481021411
72,Stream_Triad,Stream_Triad,SHP_SYCL_CPU,2,strong,0.3661848736484975,366.1848736484975,SHP,SYCL,CPU,2000000000,2,112,2.0,3277.0332319949553
