,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
105,Stream_Add,Stream_Add,MHP_SYCL_GPU,1,strong,0.790302935564751,790.302935564751,MHP,SYCL,GPU,2000000000,1,56,1.0,1518.4050899956221
116,Stream_Add,Stream_Add,MHP_SYCL_GPU,2,strong,1.6327099595081578,1632.7099595081577,MHP,SYCL,GPU,2000000000,2,112,2.0,734.9743859965744
44,Stream_Add,Stream_Add,MHP_SYCL_GPU,3,strong,2.336581432185816,2336.581432185816,MHP,SYCL,GPU,2000000000,3,168,3.0,513.570801971763
90,Stream_Add,Stream_Add,MHP_SYCL_GPU,4,strong,3.1848359005583657,3184.8359005583657,MHP,SYCL,GPU,2000000000,4,224,4.0,376.78550401595754
83,Stream_Add,Stream_Add,SHP_SYCL_GPU,1,strong,0.8019442427111534,801.9442427111535,SHP,SYCL,GPU,2000000000,1,56,1.0,1496.3633829992086
140,Stream_Add,Stream_Add,SHP_SYCL_GPU,2,strong,1.6089381124209328,1608.9381124209328,SHP,SYCL,GPU,2000000000,2,112,2.0,745.8335350104841
121,Stream_Add,Stream_Add,SHP_SYCL_GPU,3,strong,2.325161802853958,2325.161802853958,SHP,SYCL,GPU,2000000000,3,168,3.0,516.0931159831939
110,Stream_Add,Stream_Add,SHP_SYCL_GPU,4,strong,3.205087953112153,3205.0879531121527,SHP,SYCL,GPU,2000000000,4,224,4.0,374.40470200975153
