,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
51,Stream_Scale,Stream_Scale,MHP_DIRECT_CPU,56,strong,0.1738214026061939,173.82140260619389,MHP,DIRECT,CPU,2000000000,56,56,1.0,4602.425178977891
97,Stream_Scale,Stream_Scale,MHP_DIRECT_CPU,112,strong,0.3597916606993406,359.7916606993406,MHP,DIRECT,CPU,2000000000,112,112,2.0,2223.509011979349
22,Stream_Scale,Stream_Scale,MHP_SYCL_CPU,1,strong,0.18840327975646354,188.40327975646352,MHP,SYCL,CPU,2000000000,1,56,1.0,4246.210581015931
4,Stream_Scale,Stream_Scale,MHP_SYCL_CPU,2,strong,0.3723385408699437,372.3385408699437,MHP,SYCL,CPU,2000000000,2,112,2.0,2148.5823039722245
133,Stream_Scale,Stream_Scale,SHP_SYCL_CPU,1,strong,0.1885971954513263,188.5971954513263,SHP,SYCL,CPU,2000000000,1,56,1.0,4241.844625979427
70,Stream_Scale,Stream_Scale,SHP_SYCL_CPU,2,strong,0.339647110743497,339.647110743497,SHP,SYCL,CPU,2000000000,2,112,2.0,2355.3858540082315
