,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
54,WaveEquation_DR,WaveEquation,MHP_DIRECT_CPU,56,strong,0.18733982647060002,187.3398264706,MHP,DIRECT,CPU,2000000000,56,56,1.0,19407.39990901282
100,WaveEquation_DR,WaveEquation,MHP_DIRECT_CPU,112,strong,0.36008579426705656,360.0857942670566,MHP,DIRECT,CPU,2000000000,112,112,2.0,10096.979633980049
86,WaveEquation_DR,WaveEquation,MHP_SYCL_CPU,1,strong,0.12969453698619324,129.69453698619324,MHP,SYCL,CPU,2000000000,1,56,1.0,28033.400756016814
74,WaveEquation_DR,WaveEquation,MHP_SYCL_CPU,2,strong,0.25292241502140106,252.92241502140104,MHP,SYCL,CPU,2000000000,2,112,2.0,14375.075972971232
