,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
106,Stream_Triad,Stream_Triad,MHP_SYCL_GPU,1,strong,0.8284024855536379,828.4024855536379,MHP,SYCL,GPU,2000000000,1,56,1.0,1448.5712210267163
117,Stream_Triad,Stream_Triad,MHP_SYCL_GPU,2,strong,1.6241594563551323,1624.1594563551323,MHP,SYCL,GPU,2000000000,2,112,2.0,738.843711006669
45,Stream_Triad,Stream_Triad,MHP_SYCL_GPU,3,strong,2.386177992485629,2386.1779924856287,MHP,SYCL,GPU,2000000000,3,168,3.0,502.8962649806298
91,Stream_Triad,Stream_Triad,MHP_SYCL_GPU,4,strong,3.079451448845887,3079.4514488458867,MHP,SYCL,GPU,2000000000,4,224,4.0,389.67979198039785
84,Stream_Triad,Stream_Triad,SHP_SYCL_GPU,1,strong,0.8264747397259119,826.4747397259118,SHP,SYCL,GPU,2000000000,1,56,1.0,1451.9500020024354
141,Stream_Triad,Stream_Triad,SHP_SYCL_GPU,2,strong,1.5796875788337852,1579.6875788337852,SHP,SYCL,GPU,2000000000,2,112,2.0,759.6438790041686
122,Stream_Triad,Stream_Triad,SHP_SYCL_GPU,3,strong,2.2990515082630156,2299.0515082630154,SHP,SYCL,GPU,2000000000,3,168,3.0,521.9543780063574
111,Stream_Triad,Stream_Triad,SHP_SYCL_GPU,4,strong,3.1903322382972528,3190.332238297253,SHP,SYCL,GPU,2000000000,4,224,4.0,376.13637400989467
