,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
50,Stream_Copy,Stream_Copy,MHP_DIRECT_CPU,56,strong,0.1873489172526794,187.3489172526794,MHP,DIRECT,CPU,2000000000,56,56,1.0,4270.107410981361
96,Stream_Copy,Stream_Copy,MHP_DIRECT_CPU,112,strong,0.3548593037824311,354.8593037824311,MHP,DIRECT,CPU,2000000000,112,112,2.0,2254.4146129827573
21,Stream_Copy,Stream_Copy,MHP_SYCL_CPU,1,strong,0.18880511412605813,188.80511412605813,MHP,SYCL,CPU,2000000000,1,56,1.0,4237.173361023843
3,Stream_Copy,Stream_Copy,MHP_SYCL_CPU,2,strong,0.3732308189735709,373.23081897357093,MHP,SYCL,CPU,2000000000,2,112,2.0,2143.4457159783724
132,Stream_Copy,Stream_Copy,SHP_SYCL_CPU,1,strong,0.18896773760324784,188.96773760324783,SHP,SYCL,CPU,2000000000,1,56,1.0,4233.526898012935
69,Stream_Copy,Stream_Copy,SHP_SYCL_CPU,2,strong,0.3451121725467883,345.11217254678826,SHP,SYCL,CPU,2000000000,2,112,2.0,2318.08688200223
