,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
48,DotProduct_DR,DotProduct,MHP_DIRECT_CPU,56,strong,0.21487607499185807,214.87607499185808,MHP,DIRECT,CPU,2000000000,56,56,1.0,7446.152393004322
94,DotProduct_DR,DotProduct,MHP_DIRECT_CPU,112,strong,0.42859048523409715,428.5904852340972,MHP,DIRECT,CPU,2000000000,112,112,2.0,3733.167336008582
19,DotProduct_DR,DotProduct,MHP_SYCL_CPU,1,strong,0.2283443081553501,228.3443081553501,MHP,SYCL,CPU,2000000000,1,56,1.0,7006.962481024347
1,DotProduct_DR,DotProduct,MHP_SYCL_CPU,2,strong,0.45176747677886037,451.7674767788603,MHP,SYCL,CPU,2000000000,2,112,2.0,3541.6449440055603
27,DotProduct_Reference,DotProduct,Reference_CPU,1,strong,0.22841721966837342,228.4172196683734,SHP,SYCL,CPU,2000000000,1,56,1.0,7004.725836007256
130,DotProduct_DR,DotProduct,SHP_SYCL_CPU,1,strong,0.22837733025420226,228.37733025420226,SHP,SYCL,CPU,2000000000,1,56,1.0,7005.949313003492
67,DotProduct_DR,DotProduct,SHP_SYCL_CPU,2,strong,0.4173351947213221,417.33519472132207,SHP,SYCL,CPU,2000000000,2,112,2.0,3833.8487149841485
