,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
55,Stencil2D_DR,Stencil2D,MHP_DIRECT_CPU,56,strong,0.14612289977242904,146.12289977242904,MHP,DIRECT,CPU,2000000000,56,56,1.0,2190.2877680257225
101,Stencil2D_DR,Stencil2D,MHP_DIRECT_CPU,112,strong,0.26907496825227795,269.0749682522779,MHP,DIRECT,CPU,2000000000,112,112,2.0,1189.4499220006526
87,Stencil2D_DR,Stencil2D,MHP_SYCL_CPU,1,strong,0.10075668719152336,100.75668719152335,MHP,SYCL,CPU,2000000000,1,56,1.0,3175.967858011528
75,Stencil2D_DR,Stencil2D,MHP_SYCL_CPU,2,strong,0.20105725353763143,201.05725353763145,MHP,SYCL,CPU,2000000000,2,112,2.0,1591.586447987097
137,Stencil2D_Reference,Stencil2D,Reference_CPU,1,strong,0.10299454131238836,102.99454131238836,MHP,SYCL,CPU,2000000000,1,56,1.0,3106.960776002891
