,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
47,Reduce_DR,Reduce,MHP_DIRECT_CPU,56,strong,0.19836937438554372,198.36937438554372,MHP,DIRECT,CPU,2000000000,56,56,1.0,2016.4402959832603
93,Reduce_DR,Reduce,MHP_DIRECT_CPU,112,strong,0.37809114632405666,378.09114632405664,MHP,DIRECT,CPU,2000000000,112,112,2.0,1057.9459579758727
18,Reduce_DR,Reduce,MHP_SYCL_CPU,1,strong,0.2228473867653692,222.8473867653692,MHP,SYCL,CPU,2000000000,1,56,1.0,1794.9503730153706
0,Reduce_DR,Reduce,MHP_SYCL_CPU,2,strong,0.4310500558355379,431.0500558355379,MHP,SYCL,CPU,2000000000,2,112,2.0,927.9664729996354
26,Reduce_Reference,Reduce,Reference_CPU,1,strong,0.22228005270218595,222.28005270218594,SHP,SYCL,CPU,2000000000,1,56,1.0,1799.5316949826615
129,Reduce_DR,Reduce,SHP_SYCL_CPU,1,strong,0.2233262794827812,223.3262794827812,SHP,SYCL,CPU,2000000000,1,56,1.0,1791.1013469905618
66,Reduce_DR,Reduce,SHP_SYCL_CPU,2,strong,0.3136279204221255,313.6279204221255,SHP,SYCL,CPU,2000000000,2,112,2.0,1275.3966530199946
