,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
49,Inclusive_Scan_DR,Inclusive_Scan,MHP_DIRECT_CPU,56,strong,0.05876152822211086,58.761528222110854,MHP,DIRECT,CPU,2000000000,56,56,1.0,13614.34980002741
95,Inclusive_Scan_DR,Inclusive_Scan,MHP_DIRECT_CPU,112,strong,0.11203794739627071,112.03794739627071,MHP,DIRECT,CPU,2000000000,112,112,2.0,7140.437847994963
20,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_CPU,1,strong,0.0641406818614841,64.1406818614841,MHP,SYCL,CPU,2000000000,1,56,1.0,12472.583339972145
2,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_CPU,2,strong,0.09562636330647745,95.62636330647744,MHP,SYCL,CPU,2000000000,2,112,2.0,8365.893801022656
28,Inclusive_Scan_Reference,Inclusive_Scan,Reference_CPU,1,strong,0.070000537280342,70.000537280342,SHP,SYCL,CPU,2000000000,1,56,1.0,11428.483710005197
131,Inclusive_Scan_DR,Inclusive_Scan,SHP_SYCL_CPU,1,strong,0.06407788937086698,64.07788937086697,SHP,SYCL,CPU,2000000000,1,56,1.0,12484.80572401188
68,Inclusive_Scan_DR,Inclusive_Scan,SHP_SYCL_CPU,2,strong,0.08982753638042797,89.82753638042796,SHP,SYCL,CPU,2000000000,2,112,2.0,8905.955036013964
