,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
52,Stream_Add,Stream_Add,MHP_DIRECT_CPU,56,strong,0.19453243194554468,194.5324319455447,MHP,DIRECT,CPU,2000000000,56,56,1.0,6168.63721899038
98,Stream_Add,Stream_Add,MHP_DIRECT_CPU,112,strong,0.3791780545601912,379.17805456019124,MHP,DIRECT,CPU,2000000000,112,112,2.0,3164.7401150150436
23,Stream_Add,Stream_Add,MHP_SYCL_CPU,1,strong,0.19819544497439529,198.1954449743953,MHP,SYCL,CPU,2000000000,1,56,1.0,6054.6295610125
5,Stream_Add,Stream_Add,MHP_SYCL_CPU,2,strong,0.3932562593239528,393.2562593239528,MHP,SYCL,CPU,2000000000,2,112,2.0,3051.445391010231
134,Stream_Add,Stream_Add,SHP_SYCL_CPU,1,strong,0.19817180970007686,198.17180970007686,SHP,SYCL,CPU,2000000000,1,56,1.0,6055.351675983279
71,Stream_Add,Stream_Add,SHP_SYCL_CPU,2,strong,0.366667018320149,366.667018320149,SHP,SYCL,CPU,2000000000,2,112,2.0,3272.724134004986
