,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
41,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,1,weak,0.6302461045847675,630.2461045847674,MHP,SYCL,GPU,2000000000,1,56,1.0,507.73816398409855
65,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,1,strong,0.6291635969799059,629.1635969799058,MHP,SYCL,GPU,2000000000,1,56,1.0,508.61175302585104
80,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,2,weak,1.2411153761587297,1241.1153761587298,MHP,SYCL,GPU,4000000000,2,112,2.0,515.665193014375
147,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,2,strong,1.2277936729212071,1227.793672921207,MHP,SYCL,GPU,2000000000,2,112,2.0,260.6301099749484
34,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,3,strong,1.8077819371088883,1807.7819371088883,MHP,SYCL,GPU,2000000000,3,168,3.0,177.01338498368085
152,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,3,weak,1.8697544659165088,1869.7544659165087,MHP,SYCL,GPU,6000000000,3,168,3.0,513.4363990030268
17,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,4,weak,2.491183186953991,2491.1831869539906,MHP,SYCL,GPU,8000000000,4,224,4.0,513.8120739988922
128,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,4,strong,2.3532525325181743,2353.252532518174,MHP,SYCL,GPU,2000000000,4,224,4.0,135.98200600152913
113,Stencil2D_Reference,Stencil2D,Reference_GPU,1,strong,0.6256028232694736,625.6028232694737,MHP,SYCL,GPU,2000000000,1,56,1.0,511.5066430289469
