,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
40,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,1,weak,0.35155561358209747,351.55561358209746,MHP,SYCL,GPU,2000000000,1,56,1.0,10341.973761004814
64,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,1,strong,0.3483050937832984,348.3050937832984,MHP,SYCL,GPU,2000000000,1,56,1.0,10438.48911799733
79,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,2,weak,0.6632619510159162,663.2619510159162,MHP,SYCL,GPU,4000000000,2,112,2.0,10963.455415028779
146,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,2,strong,0.6785307570313924,678.5307570313925,MHP,SYCL,GPU,2000000000,2,112,2.0,5358.311165004107
33,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,3,strong,0.9561733687818493,956.1733687818494,MHP,SYCL,GPU,2000000000,3,168,3.0,3802.4264740105955
151,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,3,weak,1.0106558142119029,1010.6558142119028,MHP,SYCL,GPU,6000000000,3,168,3.0,10791.970032006515
16,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,4,weak,1.33805958625384,1338.05958625384,MHP,SYCL,GPU,8000000000,4,224,4.0,10868.810234016782
127,WaveEquation_DR,WaveEquation,MHP_SYCL_GPU,4,strong,1.2419799592150993,1241.9799592150994,MHP,SYCL,GPU,2000000000,4,224,4.0,2927.4054739963135
