,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
103,Stream_Copy,Stream_Copy,MHP_SYCL_GPU,1,strong,0.8496942970426965,849.6942970426966,MHP,SYCL,GPU,2000000000,1,56,1.0,941.5150869958123
114,Stream_Copy,Stream_Copy,MHP_SYCL_GPU,2,strong,1.6732057533956506,1673.2057533956506,MHP,SYCL,GPU,2000000000,2,112,2.0,478.12410301390463
42,Stream_Copy,Stream_Copy,MHP_SYCL_GPU,3,strong,2.55500306003936,2555.0030600393598,MHP,SYCL,GPU,2000000000,3,168,3.0,313.11117098532003
88,Stream_Copy,Stream_Copy,MHP_SYCL_GPU,4,strong,3.4198920116265965,3419.8920116265967,MHP,SYCL,GPU,2000000000,4,224,4.0,233.92551498124573
81,Stream_Copy,Stream_Copy,SHP_SYCL_GPU,1,strong,0.858659475809203,858.6594758092031,SHP,SYCL,GPU,2000000000,1,56,1.0,931.68482097758
138,Stream_Copy,Stream_Copy,SHP_SYCL_GPU,2,strong,1.68763526402266,1687.6352640226598,SHP,SYCL,GPU,2000000000,2,112,2.0,474.0360770212362
119,Stream_Copy,Stream_Copy,SHP_SYCL_GPU,3,strong,2.53600226917106,2536.00226917106,SHP,SYCL,GPU,2000000000,3,168,3.0,315.4571309833626
108,Stream_Copy,Stream_Copy,SHP_SYCL_GPU,4,strong,3.411438284291742,3411.438284291742,SHP,SYCL,GPU,2000000000,4,224,4.0,234.50519497411636
