,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
56,BlackScholes_DR,BlackScholes,MHP_DIRECT_CPU,56,strong,0.15992354806135728,159.92354806135728,MHP,DIRECT,CPU,2000000000,56,56,1.0,12505.975663025356
102,BlackScholes_DR,BlackScholes,MHP_DIRECT_CPU,112,strong,0.31790708560989134,317.90708560989134,MHP,DIRECT,CPU,2000000000,112,112,2.0,6291.146345993151
25,BlackScholes_DR,BlackScholes,MHP_SYCL_CPU,1,strong,0.050313118967692215,50.31311896769221,MHP,SYCL,CPU,2000000000,1,56,1.0,39751.06375902215
7,BlackScholes_DR,BlackScholes,MHP_SYCL_CPU,2,strong,0.10523781215429605,105.23781215429605,MHP,SYCL,CPU,2000000000,2,112,2.0,19004.57600798151
29,BlackScholes_Reference,BlackScholes,Reference_CPU,1,strong,0.05102726490383073,51.027264903830726,SHP,SYCL,CPU,2000000000,1,56,1.0,39194.73253699427
136,BlackScholes_DR,BlackScholes,SHP_SYCL_CPU,1,strong,0.05071336358335024,50.713363583350244,SHP,SYCL,CPU,2000000000,1,56,1.0,39437.33680202238
73,BlackScholes_DR,BlackScholes,SHP_SYCL_CPU,2,strong,0.10225152679911297,102.25152679911297,SHP,SYCL,CPU,2000000000,2,112,2.0,19559.610135986255
