,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
104,Stream_Scale,Stream_Scale,MHP_SYCL_GPU,1,strong,0.8560014482943353,856.0014482943353,MHP,SYCL,GPU,2000000000,1,56,1.0,934.5778580095588
115,Stream_Scale,Stream_Scale,MHP_SYCL_GPU,2,strong,1.683740450781713,1683.7404507817132,MHP,SYCL,GPU,2000000000,2,112,2.0,475.13261300373375
43,Stream_Scale,Stream_Scale,MHP_SYCL_GPU,3,strong,2.5554168007061975,2555.416800706197,MHP,SYCL,GPU,2000000000,3,168,3.0,313.0604759970731
89,Stream_Scale,Stream_Scale,MHP_SYCL_GPU,4,strong,3.4277774864956636,3427.7774864956637,MHP,SYCL,GPU,2000000000,4,224,4.0,233.38737801731347
82,Stream_Scale,Stream_Scale,SHP_SYCL_GPU,1,strong,0.8583182157218687,858.3182157218688,SHP,SYCL,GPU,2000000000,1,56,1.0,932.0552510087165
139,Stream_Scale,Stream_Scale,SHP_SYCL_GPU,2,strong,1.6815929587934668,1681.5929587934668,SHP,SYCL,GPU,2000000000,2,112,2.0,475.7393849781551
120,Stream_Scale,Stream_Scale,SHP_SYCL_GPU,3,strong,2.5485566789421696,2548.5566789421696,SHP,SYCL,GPU,2000000000,3,168,3.0,313.9031619779617
109,Stream_Scale,Stream_Scale,SHP_SYCL_GPU,4,strong,3.416209494147426,3416.2094941474256,SHP,SYCL,GPU,2000000000,4,224,4.0,234.1776759799252
